Id,neighborhood,zone,style,area,beds,baths,build,sold,age,cars,kitchen,overall,lotarea,saleprice
1,0.2,0.1,0.8,0.3703407576622882,3.0,2.0,0.93,0.6,0.16666666666666666,0.6666666666666666,0.3,0.7,-0.20714170172600374,208500.0
2,0.96,0.1,0.4,-0.4825052351037504,3.0,2.0,0.66,0.4,1.0333333333333334,0.6666666666666666,0.2,0.6,-0.09188636505313869,181500.0
3,0.2,0.1,0.8,0.5150199885779554,3.0,2.0,0.91,0.6,0.23333333333333334,0.6666666666666666,0.3,0.7,0.07347998756445033,223500.0
4,0.24,0.1,0.8,0.38366647629925754,3.0,1.0,0.05,0.2,3.033333333333333,1.0,0.3,0.7,-0.09689746664761108,140000.0
5,0.52,0.1,0.8,1.2993337140681516,4.0,2.0,0.9,0.6,0.26666666666666666,1.0,0.3,0.8,0.3751483035516885,250000.0
6,0.44,0.1,0.6,-0.2921378260041882,1.0,1.0,0.83,0.8,0.5333333333333333,0.6666666666666666,0.2,0.5,0.36061610892771856,143000.0
7,0.84,0.1,0.4,0.33988197220635824,3.0,2.0,0.94,0.4,0.1,0.6666666666666666,0.3,0.8,-0.0433789016186459,307000.0
8,0.64,0.1,0.8,1.0937369122406244,3.0,2.0,0.63,0.8,1.2,0.6666666666666666,0.2,0.7,-0.013512736115590432,200000.0
9,0.68,0.2,0.6,0.492175899486008,2.0,2.0,0.21,0.6,2.566666666666667,0.6666666666666666,0.2,0.7,-0.44065903602841733,129900.0
10,0.12,0.1,0.52,-0.8346849419379404,2.0,1.0,0.29,0.6,2.3,0.3333333333333333,0.2,0.5,-0.31037039457213506,118000.0
11,0.76,0.1,0.4,-0.9051208833047784,3.0,1.0,0.55,0.6,1.4333333333333333,0.3333333333333333,0.2,0.5,0.06846888596997794,129500.0
12,0.6,0.1,0.8,1.5391966495335998,4.0,3.0,0.95,0.2,0.03333333333333333,1.0,0.4,0.9,0.14102963705793822,345000.0
13,0.76,0.1,0.4,-1.148791166952218,2.0,1.0,0.52,0.6,1.5333333333333334,0.3333333333333333,0.2,0.5,0.24566143835052182,144000.0
